latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
28.68992,80.44131,328.24,0.51,0.41,2025-03-05,0802,N,VIIRS,l,2.0NRT,299.37,2.13,D
28.76447,80.22961,333.66,0.5,0.41,2025-03-05,0802,N,VIIRS,n,2.0NRT,299.51,5.7,D
28.79313,80.14954,328.63,0.49,0.41,2025-03-05,0802,N,VIIRS,n,2.0NRT,297.56,2.49,D
29.11391,82.49359,295.03,0.44,0.38,2025-03-05,2025,N,VIIRS,n,2.0NRT,274.69,0.68,N
27.72542,84.8155,298.02,0.39,0.44,2025-03-05,2027,N,VIIRS,n,2.0NRT,285.59,0.51,N
26.65875,87.91978,347.79,0.45,0.47,2025-03-06,0741,N,VIIRS,n,2.0NRT,296.38,6.58,D
26.68911,87.00184,334.22,0.4,0.44,2025-03-06,0741,N,VIIRS,n,2.0NRT,297.81,3.34,D
26.68866,86.9978,338.43,0.4,0.44,2025-03-06,0741,N,VIIRS,n,2.0NRT,297.71,3.34,D
26.69276,86.99722,346.27,0.4,0.44,2025-03-06,0741,N,VIIRS,n,2.0NRT,303.62,21.39,D
26.69686,86.99666,356.52,0.4,0.44,2025-03-06,0741,N,VIIRS,n,2.0NRT,296.74,21.39,D
26.94303,85.90134,329.59,0.53,0.42,2025-03-06,0741,N,VIIRS,l,2.0NRT,302.7,2.98,D
26.98338,85.86573,332.82,0.52,0.42,2025-03-06,0741,N,VIIRS,n,2.0NRT,297.49,7.58,D
26.65773,87.91871,342.67,0.45,0.47,2025-03-06,0741,N,VIIRS,n,2.0NRT,295.74,4.1,D
26.99554,85.86924,335.69,0.53,0.42,2025-03-06,0741,N,VIIRS,n,2.0NRT,297.68,5.18,D
27.06021,85.75724,334.36,0.52,0.41,2025-03-06,0741,N,VIIRS,n,2.0NRT,301.46,4.25,D
27.27967,85.27128,340.16,0.49,0.41,2025-03-06,0741,N,VIIRS,n,2.0NRT,301.04,8.86,D
27.24846,84.99027,335.77,0.48,0.4,2025-03-06,0741,N,VIIRS,n,2.0NRT,296.33,6.25,D
27.54809,84.48896,340.44,0.46,0.39,2025-03-06,0741,N,VIIRS,n,2.0NRT,297.93,5.57,D
27.55231,84.49305,339.94,0.46,0.39,2025-03-06,0741,N,VIIRS,n,2.0NRT,303.75,24.89,D
27.5517,84.48839,329.28,0.46,0.39,2025-03-06,0741,N,VIIRS,n,2.0NRT,298.48,5.57,D
27.5511,84.48373,350.97,0.46,0.39,2025-03-06,0741,N,VIIRS,n,2.0NRT,298.1,5.57,D
27.55049,84.47908,330.78,0.46,0.39,2025-03-06,0741,N,VIIRS,n,2.0NRT,296.47,3.33,D
27.54871,84.49038,347.78,0.46,0.39,2025-03-06,0741,N,VIIRS,n,2.0NRT,298.87,6.7,D
27.55233,84.48979,342.31,0.46,0.39,2025-03-06,0741,N,VIIRS,n,2.0NRT,305.32,14.41,D
27.55174,84.48514,340.97,0.46,0.39,2025-03-06,0741,N,VIIRS,n,2.0NRT,298.32,14.41,D
27.55116,84.48048,351.3,0.46,0.39,2025-03-06,0741,N,VIIRS,n,2.0NRT,297.93,13.72,D
27.55419,84.47524,342.62,0.46,0.39,2025-03-06,0741,N,VIIRS,n,2.0NRT,300.03,13.72,D
27.55564,84.39927,337.34,0.46,0.39,2025-03-06,0741,N,VIIRS,n,2.0NRT,296.44,8,D
27.55923,84.3987,350.51,0.46,0.39,2025-03-06,0741,N,VIIRS,n,2.0NRT,297.91,8,D
27.63047,83.8631,348.9,0.43,0.38,2025-03-06,0741,N,VIIRS,n,2.0NRT,305.4,27.75,D
29.74582,81.36855,325.72,0.39,0.36,2025-03-06,0743,N,VIIRS,n,2.0NRT,292.71,2.79,D
29.58212,82.254,335.63,0.4,0.37,2025-03-06,0743,N,VIIRS,l,2.0NRT,309.42,5.8,D
29.58302,82.23575,335.89,0.4,0.37,2025-03-06,0743,N,VIIRS,l,2.0NRT,308.1,6.28,D
29.79214,81.94196,337.33,0.4,0.37,2025-03-06,0743,N,VIIRS,n,2.0NRT,306.49,4.34,D
